Designator,Mid X,Mid Y,Rotation,Layer
TP23,121.51,-114.87,0.0,top
TP24,113.41,-116.84,0.0,top
TP25,113.4,-114.95,0.0,top
TP26,121.94,-92.93,0.0,top
TP27,123.43,-91.28,0.0,top
TP28,101.12,-84.12,0.0,top
TP29,88.0,-96.69,0.0,top
TP3,150.21,-65.0,0.0,top
TP30,98.6,-78.01,0.0,top
TP31,94.09,-76.42,0.0,top
TP32,102.77,-64.74,0.0,top
TP33,128.29,-79.17,0.0,top
TP34,129.62,-80.78,0.0,top
TP35,131.81,-80.74,0.0,top
TP36,145.82,-76.71,0.0,top
TP37,169.09,-92.35,0.0,top
TP38,172.1,-91.36,0.0,top
TP39,169.52,-90.35,0.0,top
TP4,203.180905,-65.500615,0.0,top
TP40,150.52,-103.75,0.0,top
TP41,152.33,-103.35,0.0,top
TP42,154.01,-103.29,0.0,top
TP43,102.39,-114.94,0.0,top
TP44,149.91,-76.48,0.0,top
TP45,149.9,-78.58,0.0,top
TP46,142.33,-81.03,0.0,top
TP47,96.0,-84.51,0.0,top
TP48,98.56,-80.97,0.0,top
TP49,165.58,-79.27,0.0,top
TP5,210.291944,-73.818295,0.0,top
TP50,167.68,-77.44,0.0,top
TP51,167.65,-80.89,0.0,top
TP52,82.68,-125.88,0.0,top
TP6,204.52,-76.3,0.0,top
TP7,201.74,-76.36,0.0,top
TP8,215.56,-116.05,0.0,top
TP9,191.61,-111.59,0.0,top
U1,158.32,-94.5,0.0,bottom
U10,82.4425,-113.3,90.0,top
U2,153.49,-62.0825,180.0,top
U3,87.78,-106.82,270.0,top
U4,103.45,-109.25,180.0,top
U5,179.6889,-77.4,90.0,bottom
U6,126.09005,-73.57,0.0,bottom
U7,211.69,-71.05,270.0,bottom
U8,94.18,-71.13,270.0,bottom
U9,91.4,-96.49,90.0,top
X1,146.66,-91.45,180.0,bottom
X2,179.38,-71.66,180.0,bottom
