AE1:1
C1:1
C10:1
C11:1
C12:1
C14:1
C16:1
C2:1
C3:1
C4:1
C5:1
C7:1
C8:1
C9:1
G***:1
J1:1
L1:1
L2:1
L3:1
L4:1
R10:1
R2:1
R5:1
R7:1
R8:1
R9:1
U1:1
U3:1
X1:1
